UF,UF_Sigla,Regiao,Ano_Referencia,Ranking_IPQD_Validado,IPQD_Validado,Prioridade_Validada,Prioridade_Executiva_Validada,Ranking_IPQD,IPQD,Prioridade,Prioridade_Executiva,Taxa_Desocupacao,Rendimento_Medio_Real,Percentual_Internet,Percentual_Ensino_Medio,Saldo_Caged,Estoque_Caged,Taxa_Caged_Estoque_Pct,Populacao_Milhoes,Score_Desemprego,Score_Baixa_Renda,Score_Baixo_Acesso_Digital,Score_Baixo_Dinamismo_Caged,Fonte_Base_UF,Fonte_Populacao,Fonte_Rendimento_Referencia,Fonte_Escolaridade_Referencia,Fonte_CAGED_Referencia,Status_Metodologico,Decisao_Metodologica,Observacao_Metodologica
Rio Grande do Norte,RN,Nordeste,2025.0,11,70.16,Alta,Prioridade imediata,11.0,47.55,Média,Atenção estratégica,6.8,2100.0,85.5,39.0,15000.0,782000.0,1.9181585677749362,3.4,56.16,89.8,69.44,62.44,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Acre,AC,Norte,2025.0,12,69.58,Alta,Prioridade imediata,10.0,49.37,Média,Atenção estratégica,6.5,2200.0,86.0,31.0,3000.0,184000.0,1.6304347826086956,0.8,52.05,87.76,66.67,71.49,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Tocantins,TO,Norte,2025.0,13,62.7,Média,Atenção estratégica,14.0,42.38,Média,Atenção estratégica,5.8,2400.0,88.5,41.0,6000.0,368000.0,1.6304347826086956,1.6,42.47,83.67,52.78,71.49,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Pará,PA,Norte,2025.0,14,62.17,Média,Atenção estratégica,13.0,42.48,Média,Atenção estratégica,6.2,2500.0,89.0,42.0,35000.0,1955000.0,1.7902813299232736,8.5,47.95,81.63,50.0,66.46,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Roraima,RR,Norte,2025.0,15,56.39,Média,Atenção estratégica,17.0,34.94,Baixa,Baixa urgência relativa,4.0,2700.0,91.0,44.0,1000.0,138000.0,0.7246376811594203,0.6,17.81,77.55,38.89,100.0,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Rondônia,RO,Norte,2025.0,16,53.88,Média,Atenção estratégica,15.0,36.1,Baixa,Baixa urgência relativa,3.7,2800.0,88.0,40.0,5000.0,368000.0,1.358695652173913,1.6,13.7,75.51,55.56,80.04,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Minas Gerais,MG,Sudeste,2025.0,17,51.37,Média,Atenção estratégica,19.0,34.35,Baixa,Baixa urgência relativa,5.5,3100.0,93.0,50.0,85000.0,4830000.0,1.7598343685300208,21.0,38.36,69.39,27.78,67.42,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Rio de Janeiro,RJ,Sudeste,2025.0,18,50.34,Média,Atenção estratégica,16.0,35.97,Baixa,Baixa urgência relativa,8.5,3800.0,96.5,56.0,100920.0,3910000.0,2.581074168797954,17.0,79.45,55.1,8.33,41.57,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Goiás,GO,Centro-Oeste,2025.0,19,41.7,Média,Atenção estratégica,18.0,34.88,Baixa,Baixa urgência relativa,5.2,3000.0,94.0,47.0,50000.0,1656000.0,3.0193236714975846,7.2,34.25,71.43,22.22,27.78,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Distrito Federal,DF,Centro-Oeste,2025.0,20,40.78,Média,Atenção estratégica,27.0,21.0,Baixa,Baixa urgência relativa,8.2,6500.0,98.0,65.0,7000.0,690000.0,1.0144927536231882,3.0,75.34,0.0,0.0,90.88,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
São Paulo,SP,Sudeste,2025.0,21,39.17,Baixa,Baixa urgência relativa,21.0,30.16,Baixa,Baixa urgência relativa,7.2,4200.0,97.5,58.0,311228.0,10580000.0,2.941663516068053,46.0,61.64,46.94,2.78,30.22,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
